level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
1933361,4712638,4712638,2023-09-29,500752387,9,True,1.6557786,0.054439384,444.05218,24.66956555555556,"LINESTRING (-5.04748 56.84499, -5.0473 56.84519, -5.0473 56.84519)"
1945358,4742521,4742521,2023-10-22,500752387,7,True,1.9431713,0.05681305,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1945365,4742529,4742529,2023-10-22,500752387,0,True,2.661438,0.05684635,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1945373,4742537,4742537,2023-10-22,500752387,4,True,2.2921343,0.051406845,444.05218,24.66956555555556,"LINESTRING (-5.04844 56.84402, -5.04824 56.84421)"
1951086,4756820,4756820,2023-10-29,500752387,7,True,1.867589,0.058287356,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1958588,4774471,4774471,2023-11-01,500752387,8,False,2.6093624,0.06126568,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
1958589,4774472,4774472,2023-11-01,500752387,3,True,2.575119,0.07580026,444.05218,24.66956555555556,"LINESTRING (-5.04864 56.84382, -5.04844 56.84402)"
1958590,4774473,4774473,2023-11-01,500752387,0,False,1.7808636,0.054279,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
1958591,4774474,4774474,2023-11-01,500752387,7,False,2.1568363,0.052595314,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
1962100,4783075,4783075,2023-11-08,500752387,8,False,2.4784179,0.07400572,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
1962112,4783087,4783087,2023-11-08,500752387,3,False,1.6626887,0.06135735,444.05218,24.66956555555556,"LINESTRING (-5.04864 56.84382, -5.04844 56.84402)"
1962117,4783092,4783092,2023-11-08,500752387,14,False,2.3427138,0.068738826,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
1965258,4790596,4790596,2023-11-15,500752387,3,True,2.6344728,0.07710409,444.05218,24.66956555555556,"LINESTRING (-5.04864 56.84382, -5.04844 56.84402)"
1974212,4812984,4812984,2023-12-01,500752387,8,False,2.5809886,0.06498571,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
1974783,4814640,4814640,2023-12-01,500752387,1,False,1.7907646,0.055536285,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
1997988,4870034,4870034,2023-07-01,500752387,3,False,1.4754975,0.05693359,444.05218,24.66956555555556,"LINESTRING (-5.04864 56.84382, -5.04844 56.84402)"
1998173,4870587,4870587,2023-07-01,500752387,8,False,2.3167675,0.06106743,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
1998181,4870595,4870595,2023-07-01,500752387,11,True,2.4207487,0.067015864,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
2012479,4905115,4905115,2023-07-29,500752387,0,False,1.7078383,0.05394325,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
2012480,4905116,4905116,2023-07-29,500752387,15,True,2.704798,0.08074591,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
2012484,4905121,4905121,2023-07-29,500752387,1,True,3.1574485,0.060676713,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2013893,4908543,4908543,2023-07-22,500752387,7,False,1.9799927,0.06370337,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2023188,4930283,4930283,2023-08-22,500752387,10,False,2.2319193,0.06467415,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
2028649,4942872,4942872,2023-09-01,500752387,7,False,1.8937947,0.058136567,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2028659,4942883,4942883,2023-09-01,500752387,0,False,1.5704571,0.051496748,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
2028671,4942897,4942897,2023-09-01,500752387,5,True,1.8032373,0.054718483,444.05218,24.66956555555556,"LINESTRING (-5.04824 56.84421, -5.04805 56.8444)"
2029245,4944109,4944109,2023-08-29,500752387,7,True,1.8743364,0.04904273,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2029251,4944115,4944115,2023-08-29,500752387,6,True,1.7124525,0.050587412,444.05218,24.66956555555556,"LINESTRING (-5.04805 56.8444, -5.04804 56.84441, -5.04786 56.8446)"
2030201,4946854,4946854,2023-08-08,500752387,0,False,1.6388851,0.05629983,444.05218,24.66956555555556,"LINESTRING (-5.04925 56.84325, -5.04904 56.84344)"
2031489,4949752,4949752,2023-09-01,500752387,1,False,1.7709756,0.055157907,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2032158,4951910,4951910,2023-09-01,500752387,4,False,1.5795543,0.053207044,444.05218,24.66956555555556,"LINESTRING (-5.04844 56.84402, -5.04824 56.84421)"
2037280,4963998,4963998,2023-09-08,500752387,1,False,1.6925032,0.052503813,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2037283,4964001,4964001,2023-09-08,500752387,3,False,1.4943569,0.052060697,444.05218,24.66956555555556,"LINESTRING (-5.04864 56.84382, -5.04844 56.84402)"
2037286,4964004,4964004,2023-09-08,500752387,8,False,2.2731266,0.064118505,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
2042281,4976031,4976031,2023-09-15,500752387,14,True,3.3044512,0.09534415,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
2042748,4976933,4976933,2023-09-15,500752387,14,False,2.2083662,0.065744035,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
2042751,4976936,4976936,2023-09-15,500752387,13,False,2.485786,0.07579753,444.05218,24.66956555555556,"LINESTRING (-5.04692 56.84582, -5.04688 56.84593, -5.04686 56.84604)"
2043351,4978210,4978210,2023-08-15,500752387,9,False,2.5600169,0.067979075,444.05218,24.66956555555556,"LINESTRING (-5.04748 56.84499, -5.0473 56.84519, -5.0473 56.84519)"
2044602,4980723,4980723,2023-09-08,500752387,16,True,1.9466815,0.056450155,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
2048183,4989236,4989236,2023-09-22,500752387,14,True,3.3230355,0.10312389,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
2055935,5008709,5008709,2023-10-08,500752387,15,True,2.6594174,0.06296315,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
2055941,5008715,5008715,2023-10-08,500752387,2,False,1.6315389,0.057328,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
2057790,5013230,5013230,2023-10-08,500752387,7,True,1.7606119,0.052096877,444.05218,24.66956555555556,"LINESTRING (-5.04786 56.8446, -5.04773 56.84474, -5.04767 56.8448)"
2057798,5013240,5013240,2023-10-08,500752387,8,False,2.4347394,0.06287441,444.05218,24.66956555555556,"LINESTRING (-5.04767 56.8448, -5.0476 56.84487, -5.04748 56.84499)"
2059328,5016847,5016847,2023-10-01,500752387,17,True,1.867212,0.06373824,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
2071480,5046689,5046689,2023-10-29,500752387,17,False,2.3097293,0.054899983,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
2078267,5063274,5063274,2023-11-01,500752387,4,True,2.2951734,0.059676543,444.05218,24.66956555555556,"LINESTRING (-5.04844 56.84402, -5.04824 56.84421)"
2081111,5070278,5070278,2023-11-08,500752387,13,True,3.5363433,0.09701129,444.05218,24.66956555555556,"LINESTRING (-5.04692 56.84582, -5.04688 56.84593, -5.04686 56.84604)"
2081133,5070301,5070301,2023-11-08,500752387,1,True,3.215894,0.08420176,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2082128,5072479,5072479,2023-11-08,500752387,1,False,1.85385,0.062116995,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2082143,5072495,5072495,2023-11-08,500752387,11,True,2.4698179,0.07356535,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
2091509,5097129,5097129,2023-11-15,500752387,10,False,2.3729193,0.062141716,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
